order_id,pickup_node,pickup_x_m,pickup_y_m,delivery_node,delivery_x_m,delivery_y_m,order_type,weight_kg,volume_l,order_time_min,order_time_hhmm,ready_time_min,ready_time_hhmm,earliest_start_min,service_deadline_s,latest_finish_min,latest_finish_hhmm,S_j_h,a_j_h,b_j_h,priority,splittable,source_type,source_note
OD120_001,CANTEEN_W,525,520,DORM_W,267,768,外卖,0.71,1.7,55,08:55,62,09:02,62,1500,87,09:27,1.0333,1.0333,1.4500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_002,CANTEEN_E,1125,920,DORM_W,267,768,外卖,0.77,1.9,62,09:02,67,09:07,67,900,82,09:22,1.1167,1.1167,1.3667,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_003,RESTAURANT_X,720,715,LIB,640,865,外卖,0.90,2.5,79,09:19,85,09:25,85,1080,103,09:43,1.4167,1.4167,1.7167,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_004,CANTEEN_E,1125,920,LIB,640,865,外卖,0.78,1.8,122,10:02,127,10:07,127,1500,152,10:32,2.1167,2.1167,2.5333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_005,CANTEEN_W,525,520,DORM_W,267,768,外卖,0.78,2.2,125,10:05,132,10:12,132,1080,150,10:30,2.2000,2.2000,2.5000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_006,CANTEEN_E,1125,920,DORM_W,267,768,外卖,0.84,2.0,131,10:11,138,10:18,138,1200,158,10:38,2.3000,2.3000,2.6333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_007,RESTAURANT_X,720,715,LIB,640,865,外卖,0.94,2.4,132,10:12,142,10:22,142,1080,160,10:40,2.3667,2.3667,2.6667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_008,RESTAURANT_X,720,715,LIB,640,865,外卖,1.12,3.6,157,10:37,162,10:42,162,1200,182,11:02,2.7000,2.7000,3.0333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_009,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,0.96,2.0,165,10:45,174,10:54,174,1080,192,11:12,2.9000,2.9000,3.2000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_010,GATE_S,800,160,DORM_E,1240,1080,外卖,0.77,1.9,191,11:11,201,11:21,201,900,216,11:36,3.3500,3.3500,3.6000,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_011,RESTAURANT_X,720,715,DORM_W,267,768,外卖,0.95,2.3,191,11:11,200,11:20,200,1500,225,11:45,3.3333,3.3333,3.7500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_012,RESTAURANT_X,720,715,DORM_E,1240,1080,外卖,1.33,3.3,198,11:18,203,11:23,203,1500,228,11:48,3.3833,3.3833,3.8000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_013,RESTAURANT_X,720,715,DORM_E,1240,1080,外卖,0.69,2.3,200,11:20,210,11:30,210,1200,230,11:50,3.5000,3.5000,3.8333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_014,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,1.18,2.4,212,11:32,222,11:42,222,1080,240,12:00,3.7000,3.7000,4.0000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_015,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,0.55,1.5,212,11:32,221,11:41,221,900,236,11:56,3.6833,3.6833,3.9333,high,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_016,RESTAURANT_X,720,715,DORM_W,267,768,外卖,0.93,2.7,212,11:32,217,11:37,217,1200,237,11:57,3.6167,3.6167,3.9500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
