from_node,to_node,distance_m
DEP_W,DEP_W,0
DEP_W,DEP_E,1291.0
DEP_W,CANTEEN_W,724.0
DEP_W,CANTEEN_E,1402.0
DEP_W,RESTAURANT_X,263.0
DEP_W,GATE_S,1334.0
DEP_W,DORM_W,771.0
DEP_W,DORM_E,1622.0
DEP_W,LIB,2314.0
DEP_E,DEP_W,1291.0
DEP_E,DEP_E,0
DEP_E,CANTEEN_W,2016.0
DEP_E,CANTEEN_E,651.0
DEP_E,RESTAURANT_X,1027.0
DEP_E,GATE_S,501.0
DEP_E,DORM_W,1987.0
DEP_E,DORM_E,871.0
DEP_E,LIB,1072.0
CANTEEN_W,DEP_W,724.0
CANTEEN_W,DEP_E,2016.0
CANTEEN_W,CANTEEN_W,0
CANTEEN_W,CANTEEN_E,2084.0
CANTEEN_W,RESTAURANT_X,988.0
CANTEEN_W,GATE_S,1909.0
CANTEEN_W,DORM_W,295.0
CANTEEN_W,DORM_E,2304.0
CANTEEN_W,LIB,2401.0
CANTEEN_E,DEP_W,1402.0
CANTEEN_E,DEP_E,651.0
CANTEEN_E,CANTEEN_W,2084.0
CANTEEN_E,CANTEEN_E,0
CANTEEN_E,RESTAURANT_X,1138.0
CANTEEN_E,GATE_S,525.0
CANTEEN_E,DORM_W,2174.0
CANTEEN_E,DORM_E,472.0
CANTEEN_E,LIB,1705.0
RESTAURANT_X,DEP_W,263.0
RESTAURANT_X,DEP_E,1027.0
RESTAURANT_X,CANTEEN_W,988.0
RESTAURANT_X,CANTEEN_E,1138.0
RESTAURANT_X,RESTAURANT_X,0
RESTAURANT_X,GATE_S,988.0
RESTAURANT_X,DORM_W,1035.0
RESTAURANT_X,DORM_E,1358.0
RESTAURANT_X,LIB,2099.0
GATE_S,DEP_W,1334.0
GATE_S,DEP_E,501.0
GATE_S,CANTEEN_W,1909.0
GATE_S,CANTEEN_E,525.0
GATE_S,RESTAURANT_X,988.0
GATE_S,GATE_S,0
GATE_S,DORM_W,2024.0
GATE_S,DORM_E,745.0
GATE_S,LIB,1556.0
DORM_W,DEP_W,771.0
DORM_W,DEP_E,1987.0
DORM_W,CANTEEN_W,295.0
DORM_W,CANTEEN_E,2174.0
DORM_W,RESTAURANT_X,1035.0
DORM_W,GATE_S,2024.0
DORM_W,DORM_W,0
DORM_W,DORM_E,2351.0
DORM_W,LIB,2221.0
DORM_E,DEP_W,1622.0
DORM_E,DEP_E,871.0
DORM_E,CANTEEN_W,2304.0
DORM_E,CANTEEN_E,472.0
DORM_E,RESTAURANT_X,1358.0
DORM_E,GATE_S,745.0
DORM_E,DORM_W,2351.0
DORM_E,DORM_E,0
DORM_E,LIB,1925.0
LIB,DEP_W,2314.0
LIB,DEP_E,1072.0
LIB,CANTEEN_W,2401.0
LIB,CANTEEN_E,1705.0
LIB,RESTAURANT_X,2099.0
LIB,GATE_S,1556.0
LIB,DORM_W,2221.0
LIB,DORM_E,1925.0
LIB,LIB,0
