from_node,to_node,distance_m
DEP_W,DEP_W,0.0
DEP_W,DEP_E,986.1
DEP_W,CANTEEN_W,381.3
DEP_W,CANTEEN_E,1321.4
DEP_W,RESTAURANT_X,317.4
DEP_W,GATE_S,1143.6
DEP_W,DORM_W,380.5
DEP_W,DORM_E,1580.1
DEP_W,LIB,588.6
DEP_E,DEP_W,986.1
DEP_E,DEP_E,0.0
DEP_E,CANTEEN_W,1367.3
DEP_E,CANTEEN_E,444.7
DEP_E,RESTAURANT_X,668.6
DEP_E,GATE_S,428.5
DEP_E,DORM_W,1293.6
DEP_E,DORM_E,594.0
DEP_E,LIB,429.1
CANTEEN_W,DEP_W,381.3
CANTEEN_W,DEP_E,1367.3
CANTEEN_W,CANTEEN_W,0.0
CANTEEN_W,CANTEEN_E,1702.7
CANTEEN_W,RESTAURANT_X,698.7
CANTEEN_W,GATE_S,1524.9
CANTEEN_W,DORM_W,179.7
CANTEEN_W,DORM_E,1961.3
CANTEEN_W,LIB,938.2
CANTEEN_E,DEP_W,1321.4
CANTEEN_E,DEP_E,444.7
CANTEEN_E,CANTEEN_W,1702.7
CANTEEN_E,CANTEEN_E,0.0
CANTEEN_E,RESTAURANT_X,1004.0
CANTEEN_E,GATE_S,221.1
CANTEEN_E,DORM_W,1628.9
CANTEEN_E,DORM_E,258.7
CANTEEN_E,LIB,855.6
RESTAURANT_X,DEP_W,317.4
RESTAURANT_X,DEP_E,668.6
RESTAURANT_X,CANTEEN_W,698.7
RESTAURANT_X,CANTEEN_E,1004.0
RESTAURANT_X,RESTAURANT_X,0.0
RESTAURANT_X,GATE_S,826.2
RESTAURANT_X,DORM_W,625.0
RESTAURANT_X,DORM_E,1262.6
RESTAURANT_X,LIB,374.2
GATE_S,DEP_W,1143.6
GATE_S,DEP_E,428.5
GATE_S,CANTEEN_W,1524.9
GATE_S,CANTEEN_E,221.1
GATE_S,RESTAURANT_X,826.2
GATE_S,GATE_S,0.0
GATE_S,DORM_W,1451.2
GATE_S,DORM_E,437.6
GATE_S,LIB,825.3
DORM_W,DEP_W,380.5
DORM_W,DEP_E,1293.6
DORM_W,CANTEEN_W,179.7
DORM_W,CANTEEN_E,1628.9
DORM_W,RESTAURANT_X,625.0
DORM_W,GATE_S,1451.2
DORM_W,DORM_W,0.0
DORM_W,DORM_E,1887.6
DORM_W,LIB,864.5
DORM_E,DEP_W,1580.1
DORM_E,DEP_E,594.0
DORM_E,CANTEEN_W,1961.3
DORM_E,CANTEEN_E,258.7
DORM_E,RESTAURANT_X,1262.6
DORM_E,GATE_S,437.6
DORM_E,DORM_W,1887.6
DORM_E,DORM_E,0.0
DORM_E,LIB,1023.1
LIB,DEP_W,588.6
LIB,DEP_E,429.1
LIB,CANTEEN_W,938.2
LIB,CANTEEN_E,855.6
LIB,RESTAURANT_X,374.2
LIB,GATE_S,825.3
LIB,DORM_W,864.5
LIB,DORM_E,1023.1
LIB,LIB,0.0
